id,eval_id,experiment,subject,relation,object,out,OK,DIR,BOOL,LIT,LEX,SEM,ENT,DESC,COR,ref,rel_desc,semsim,contr,agree,perpl
259,0,rel2text/seed_1,Punta Prieta Airstrip,contained in place,Baja California,Punta Prieta Airstrip is located in Baja California.,,,,,,,x,,,Punta Prieta Airstrip can be found in Baja California.,The basic containment relation between a place and one that contains it.,5,0.2721124329,99.26548004,4.488808155
259,0,webnlg/seed_1,Punta Prieta Airstrip,contained in place,Baja California,The Punta Prieta Airstrip is contained in Baja California.,,,,x,,,,,,Punta Prieta Airstrip can be found in Baja California.,The basic containment relation between a place and one that contains it.,4.942783833,0.6066297181,98.34414721,4.737451077
259,0,rel2text_desc_concat/seed_1,Punta Prieta Airstrip,contained in place,Baja California,Punta Prieta Airstrip is contained in Baja California.,,,,x,,,,,,Punta Prieta Airstrip can be found in Baja California.,The basic containment relation between a place and one that contains it.,4.931779861,0.5516565405,98.47114086,5.067406178
259,0,kelm,Punta Prieta Airstrip,contained in place,Baja California,The Punta Prieta Airstrip is located in Baja California.,,,,,,,,,,Punta Prieta Airstrip can be found in Baja California.,The basic containment relation between a place and one that contains it.,5,0.3018590854,99.2135644,4.195373058
259,0,rel2text_mask_mask/seed_1,Punta Prieta Airstrip,contained in place,Baja California,Punta Prieta Airstrip is located in Baja California.,,,,,,,,,,Punta Prieta Airstrip can be found in Baja California.,The basic containment relation between a place and one that contains it.,5,0.2721121768,99.26548004,4.488806248
259,0,rel2text_fewshot100/seed_1,Punta Prieta Airstrip,contained in place,Baja California,The Punta Prieta Airstrip is contained in place in Baja California.,,,,x,x,x,,,,Punta Prieta Airstrip can be found in Baja California.,The basic containment relation between a place and one that contains it.,4.77565527,0.3092585597,98.02148342,4.916295528
84,1,rel2text_fewshot100/seed_1,CoBank,duns,75770271,Co bank has 075770271 duns.,,,,x,x,x,,x,,CoBank's DUNS number is 075770271.,The Dun  Bradstreet DUNS number for identifying an organization or business person.,4.777380943,0.899573043,98.03743958,8.955449104
84,1,rel2text/seed_1,CoBank,duns,75770271,Co bank has a duns value of 075770271.,,,,x,x,,,,,CoBank's DUNS number is 075770271.,The Dun  Bradstreet DUNS number for identifying an organization or business person.,4.817264557,2.935060114,93.01681519,7.548294067
84,1,webnlg/seed_1,CoBank,duns,75770271,The Co bank has a duns of 075770271.,,,,x,x,,,,,CoBank's DUNS number is 075770271.,The Dun  Bradstreet DUNS number for identifying an organization or business person.,4.817893982,0.8980607614,98.25892448,7.965256691
84,1,kelm,CoBank,duns,75770271,CoBank has a duns of 075770271.,,,,,,,,,,CoBank's DUNS number is 075770271.,The Dun  Bradstreet DUNS number for identifying an organization or business person.,4.895205498,1.17246313,98.05868864,7.872899532
